type;pop;continent;1.0;3.0;5.0;7.0
adj;ElecPop;AFR;363285446.18523246;1393182.8733049051;14693449.337920679;81802.8543451063
adj;ElecPop;other;909872739.6888065;1804678.3057114575;20813915.36853653;182991.6803115063
adj;ElecPop2030;AFR;702415963.2854326;76879652.49137188;358332651.0781687;3419921.4460971123
adj;ElecPop2030;other;1203757920.3014464;94869978.65073003;437612375.4645483;5405454.5523453215
adj;NewConnections2025;AFR;243785238.1831591;21348114.662988067;42573560.408076674;372206.4256629944
adj;NewConnections2025;other;410231761.1714491;24230582.753060438;51229101.93766666;756864.4240639945
adj;NewConnections2030;AFR;348562893.93970495;56926344.325022675;100383034.20632821;1336916.696929071
adj;NewConnections2030;other;498625555.2170259;72445697.8406218;127671664.10799503;2186243.0733895088
adj;Pop;AFR;664006164.460666;57081571.90252156;264637149.19314617;2528039.725028038
adj;Pop;other;1449094957.966875;71036869.60724631;329765802.9794117;4136239.817860839
orig;ElecPop;AFR;371799052.96138066;1393308.3197866098;6198591.6023935275;67426.12829545351
orig;ElecPop;other;922604829.8557237;1804803.7521931622;8109584.495519686;161338.2754688535
orig;ElecPop2030;AFR;947610093.1930728;76881548.11841466;113969644.41286084;2763953.6626271885
orig;ElecPop2030;other;1498672741.6761503;94871874.2777728;143787150.95101437;4553025.813650388
orig;NewConnections2025;AFR;243785238.1831591;21348114.662988067;42573560.408076674;372206.4256629944
orig;NewConnections2025;other;410231761.1714491;24230582.753060438;51229101.93766666;756864.4240639945
orig;NewConnections2030;AFR;371422503.9892637;56926344.325022675;77594184.23566148;1281601.5954292193
orig;NewConnections2030;other;525715302.43553483;72445697.8406218;100667094.2760996;2120403.016743616
orig;Pop;AFR;848121066.8783133;57083560.019689985;81145150.50131458;2032358.9432086945
orig;Pop;other;1673810616.7651105;71038857.72441474;105894919.39811589;3469309.808411494
